Edition Name;Edition Type;Edition Total Size;Contract Address
ΕΥΝΟΙΑ;4;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΓΕΝΝΗΣΗ;5;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΚΑΘΑΡΣΙΣ;2;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΑΜΑΘΕΙΑ;6;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΙΣΧΥΣ;3;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΑΘΑΝΑΣΙΑ;1;1;0x181aad5dbb58264412c784b9acf57e1253a3d113
ΕΛΕΥΘΕΡΙΑ;7;10;0x181aad5dbb58264412c784b9acf57e1253a3d113
