Action;Time;ID;Token ID
listing;2021-04-15T22:21:29.769499Z;123849;23600030005
listing;2021-04-15T22:11:40.794928Z;123849;23600030005
listing;2021-04-15T21:49:33.827456Z;123977;23600030031
listing;2021-04-15T21:20:00.455431Z;123849;23600030005
sale;2021-04-15T21:19:34.629775Z;123884;23600030008
listing;2021-04-15T20:57:56.040888Z;123849;23600030005
listing;2021-04-15T20:55:05.339260Z;123977;23600030031
listing;2021-04-15T20:46:53.280591Z;123884;23600030008
listing;2021-04-15T20:45:23.023631Z;123884;23600030008
listing;2021-04-15T20:00:51.579309Z;123884;23600030008
nifty_transfer;2021-04-15T19:27:46.786091Z;123817;23600030001
listing;2021-04-15T19:27:33.401529Z;124040;23600030045
listing;2021-04-15T19:12:40.816082Z;123884;23600030008
listing;2021-04-15T19:04:30.327169Z;123884;23600030008
listing;2021-04-15T18:06:24.425040Z;123884;23600030008
sale;2021-04-15T17:30:11.009033Z;124109;23600030063
listing;2021-04-15T17:29:36.212446Z;123884;23600030008
listing;2021-04-15T17:17:45.205833Z;123849;23600030005
listing;2021-04-15T17:13:33.088328Z;124109;23600030063
listing;2021-04-15T16:59:11.343731Z;124111;23600030065
listing;2021-04-15T16:40:52.651721Z;124040;23600030045
offer;2021-04-15T16:23:07.336811Z;None;None
listing;2021-04-15T12:44:47.059362Z;124158;23600030076
listing;2021-04-15T12:20:55.520482Z;124040;23600030045
listing;2021-04-15T12:07:53.075848Z;123884;23600030008
listing;2021-04-15T12:06:46.821987Z;124109;23600030063
listing;2021-04-15T12:02:06.498050Z;123849;23600030005
listing;2021-04-15T11:52:05.712132Z;123884;23600030008
listing;2021-04-15T10:07:19.869550Z;124005;23600030037
listing;2021-04-15T09:46:59.226766Z;124075;23600030053
offer;2021-04-15T09:42:16.043421Z;None;None
sale;2021-04-15T08:01:09.801130Z;124111;23600030065
listing;2021-04-15T07:57:33.192801Z;124111;23600030065
offer;2021-04-15T07:18:37.936089Z;None;None
withdrawal;2021-04-15T07:17:22.788611Z;124201;23600030082
offer;2021-04-15T06:35:16.221449Z;None;None
listing;2021-04-15T04:44:22.754836Z;123849;23600030005
listing;2021-04-15T03:27:01.023135Z;124158;23600030076
listing;2021-04-15T03:16:06.701934Z;124149;23600030074
listing;2021-04-15T03:07:39.656528Z;123885;23600030007
listing;2021-04-15T02:55:56.521327Z;124149;23600030074
sale;2021-04-15T02:55:55.455488Z;123999;23600030035
listing;2021-04-15T02:34:10.391827Z;123999;23600030035
listing;2021-04-15T02:27:33.429632Z;123977;23600030031
listing;2021-04-15T02:03:04.152801Z;123999;23600030035
listing;2021-04-15T02:03:04.150049Z;123999;23600030035
listing;2021-04-15T01:39:19.823191Z;123884;23600030008
listing;2021-04-15T01:31:18.006026Z;123955;23600030024
listing;2021-04-15T01:23:20.519720Z;124149;23600030074
listing;2021-04-15T01:10:55.894619Z;123884;23600030008
sale;2021-04-15T01:10:04.297826Z;124264;23600030088
listing;2021-04-15T01:09:57.804867Z;124264;23600030088
listing;2021-04-15T01:08:43.921803Z;123849;23600030005
listing;2021-04-15T01:04:53.825058Z;124111;23600030065
listing;2021-04-15T01:03:02.064431Z;124266;23600030089
listing;2021-04-15T01:02:30.779805Z;124264;23600030088
listing;2021-04-15T00:51:32.134997Z;124264;23600030088
listing;2021-04-15T00:46:08.533872Z;124109;23600030063
birth;2021-04-15T00:43:48.899385Z;124342;23600030092
nifty_transfer;2021-04-15T00:43:27.545598Z;124025;23600030044
birth;2021-04-15T00:34:36.289660Z;124283;23600030091
listing;2021-04-15T00:34:17.057348Z;124264;23600030088
birth;2021-04-15T00:33:36.559958Z;124274;23600030090
birth;2021-04-15T00:31:58.552588Z;124266;23600030089
birth;2021-04-15T00:31:44.551622Z;124264;23600030088
birth;2021-04-15T00:30:00.159706Z;124257;23600030087
birth;2021-04-15T00:28:22.585855Z;124243;23600030086
birth;2021-04-15T00:25:13.992574Z;124224;23600030085
birth;2021-04-15T00:23:39.270734Z;124216;23600030084
birth;2021-04-15T00:21:54.044515Z;124207;23600030083
birth;2021-04-15T00:21:02.861806Z;124201;23600030082
birth;2021-04-15T00:18:30.689709Z;124187;23600030081
birth;2021-04-15T00:18:25.718873Z;124185;23600030080
birth;2021-04-15T00:17:23.376787Z;124175;23600030079
birth;2021-04-15T00:16:55.639177Z;124173;23600030078
birth;2021-04-15T00:14:56.847193Z;124161;23600030077
birth;2021-04-15T00:14:36.051805Z;124158;23600030076
birth;2021-04-15T00:13:01.109288Z;124150;23600030075
birth;2021-04-15T00:12:36.423130Z;124149;23600030074
listing;2021-04-15T00:12:34.670437Z;124118;23600030066
