195.201.61.51:8000,http,"2021-06-01 16:08:28"
212.83.134.48:80,http,"2021-06-01 15:30:28"
36.89.149.173:4145,socks4,"2021-06-01 15:23:29"
200.41.182.243:4145,socks4,"2021-06-01 14:55:56"
109.86.219.161:3629,socks4,"2021-06-01 14:41:04"
178.143.12.103:4153,socks4,"2021-06-01 14:38:35"
46.175.70.69:59376,socks4,"2021-06-01 14:27:09"
119.82.252.106:40782,socks4,"2021-06-01 14:12:32"
201.91.82.155:3128,http,"2021-06-01 13:56:47"
144.217.101.245:3129,http,"2021-06-01 14:59:12"
190.90.140.55:50419,socks4,"2021-06-01 14:32:40"
91.192.2.168:30226,socks4,"2021-06-01 14:14:49"
200.35.56.161:44684,socks4,"2021-06-01 14:12:24"
178.48.68.61:4145,socks4,"2021-06-01 14:04:28"
109.245.236.109:4145,socks4,"2021-06-01 14:04:05"
77.37.240.23:4145,socks4,"2021-06-01 14:03:41"
38.133.200.94:31596,socks4,"2021-06-01 13:59:28"
168.197.252.162:31420,socks4,"2021-06-01 11:20:50"
213.136.89.190:4374,socks4,"2021-06-01 13:43:39"
189.198.210.234:4153,socks4,"2021-06-01 15:42:18"
88.116.29.106:1081,socks4,"2021-06-01 15:35:39"
217.26.171.214:4153,socks4,"2021-06-01 15:35:38"
91.205.146.79:3629,socks4,"2021-06-01 15:23:35"
190.121.146.67:999,http,"2021-06-01 15:18:14"
125.209.127.30:44682,socks4,"2021-06-01 15:08:05"
198.50.163.192:3129,http,"2021-06-01 14:59:07"
189.1.166.150:4153,socks4,"2021-06-01 14:53:05"
79.106.14.13:4145,socks4,"2021-06-01 14:51:34"
45.181.47.1:4153,socks4,"2021-06-01 14:50:06"
103.94.133.94:4153,socks4,"2021-06-01 14:43:25"
187.189.81.246:4153,socks4,"2021-06-01 14:43:01"
113.53.247.221:4153,socks4,"2021-06-01 14:41:26"
46.8.247.3:38279,socks4,"2021-06-01 14:38:12"
118.70.81.207:4153,socks4,"2021-06-01 14:37:55"
213.136.89.190:29635,socks4,"2021-06-01 14:36:09"
186.42.174.218:3629,socks4,"2021-06-01 14:34:59"
87.103.174.147:3629,socks4,"2021-06-01 14:34:45"
80.245.115.97:4145,socks4,"2021-06-01 14:26:19"
37.17.169.80:46768,socks4,"2021-06-01 14:25:20"
109.86.244.225:57649,socks4,"2021-06-01 14:23:42"
101.51.141.17:4153,socks4,"2021-06-01 14:20:33"
202.169.32.138:1080,socks4,"2021-06-01 14:19:35"
200.6.175.10:59341,socks4,"2021-06-01 14:19:40"
12.218.209.130:13326,socks4,"2021-06-01 14:19:25"
154.66.208.12:59841,socks4,"2021-06-01 14:18:18"
138.99.93.224:4145,socks4,"2021-06-01 14:16:59"
189.113.217.35:43603,socks4,"2021-06-01 14:17:01"
193.151.118.207:39049,socks4,"2021-06-01 14:16:25"
186.219.96.47:49923,socks4,"2021-06-01 14:12:51"
78.60.203.75:54471,socks4,"2021-06-01 14:12:27"
185.178.220.126:32000,socks4,"2021-06-01 14:12:27"
5.178.193.43:1080,socks4,"2021-06-01 14:12:02"
85.114.96.154:36747,socks4,"2021-06-01 14:10:43"
65.184.156.234:53761,socks4,"2021-06-01 14:10:13"
50.233.42.98:30717,socks4,"2021-06-01 14:09:47"
191.209.21.52:31337,socks4,"2021-06-01 14:09:03"
132.255.94.2:31337,socks4,"2021-06-01 14:08:28"
113.53.29.88:4145,socks4,"2021-06-01 14:08:29"
222.165.223.138:41541,socks4,"2021-06-01 14:08:32"
213.101.151.4:1080,socks4,"2021-06-01 14:06:10"
213.16.81.182:35559,socks4,"2021-06-01 14:06:26"
92.241.92.218:14888,socks4,"2021-06-01 14:05:49"
212.115.232.79:10800,socks4,"2021-06-01 14:05:54"
109.68.189.22:54643,socks4,"2021-06-01 14:04:36"
195.29.155.98:58617,socks4,"2021-06-01 14:03:25"
176.108.104.84:38954,socks4,"2021-06-01 14:02:50"
14.102.64.209:60616,socks4,"2021-06-01 14:00:25"
37.57.3.244:1080,socks4,"2021-06-01 13:59:27"
37.235.206.211:4145,socks4,"2021-06-01 13:59:19"
213.136.89.190:5136,socks4,"2021-06-01 13:48:47"
45.233.169.28:999,http,"2021-06-01 11:22:38"
195.189.218.120:4153,socks4,"2021-06-01 11:21:12"
95.174.109.72:3629,socks4,"2021-06-01 16:04:22"
116.206.19.174:1080,socks4,"2021-06-01 15:47:18"
197.210.120.77:5678,socks4,"2021-06-01 15:47:10"
103.121.199.142:8080,http,"2021-06-01 15:45:19"
177.229.130.68:8080,http,"2021-06-01 15:44:49"
159.65.69.186:9200,socks4,"2021-06-01 15:38:44"
103.232.64.227:4145,socks4,"2021-06-01 15:27:32"
213.136.89.190:51808,socks4,"2021-06-01 15:22:10"
181.13.198.90:4153,socks4,"2021-06-01 15:21:06"
213.6.167.126:5678,socks4,"2021-06-01 15:19:14"
103.115.255.86:36331,socks4,"2021-06-01 15:07:18"
213.136.89.190:16517,socks4,"2021-06-01 15:05:49"
213.174.10.58:54650,socks4,"2021-06-01 15:01:01"
83.18.190.66:1080,socks4,"2021-06-01 14:56:42"
94.182.53.2:4153,socks4,"2021-06-01 14:53:44"
176.106.36.183:1080,socks4,"2021-06-01 14:52:39"
176.106.39.147:1080,socks4,"2021-06-01 14:52:44"
200.110.187.74:4153,socks4,"2021-06-01 14:50:45"
