Плафон потолочный;Murano;602073;Murano 602073;;СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20;"СтильКлассический; Высота, мм180; Диаметр, мм520; Масса, кг6,95; Количество ламп, шт7; Цоколь лампE14; Мощность лампы (Max), Вт40; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/602073
Люстра подвесная;Champa;698065;Champa blu 698065;;СтильАрт-деко; Высота, мм510; Диаметр, мм580; Масса, кг8,8; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм510; Диаметр, мм580; Масса, кг8,8; Количество ламп, шт6; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/698065
Люстра подвесная;Champa;698085;Champa blu 698085;;СтильАрт-деко; Высота, мм435; Диаметр, мм670; Масса, кг11; Количество ламп, шт8; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20;"СтильАрт-деко; Высота, мм435; Диаметр, мм670; Масса, кг11; Количество ламп, шт8; Цоколь лампE14; Мощность лампы (Max), Вт60; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-lustru-optom/698085
Трековое крепление с 3-фазным адаптером к 05122x;Asta;594047;Asta 594047;;None;Высота, мм49;None; Масса, кг0,195;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм49; Масса, кг0,195; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594047
Трековое крепление с 3-фазным адаптером к 05104x;Asta;594076;Asta 594076;;None;Высота, мм50;None; Масса, кг0,087;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм50; Масса, кг0,087; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594076
Трековое крепление с 3-фазным адаптером к 05104x;Asta;594077;Asta 594077;;None;Высота, мм50;None; Масса, кг0,087;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм50; Масса, кг0,087; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594077
Трековое крепление с 3-фазным адаптером к 05122x;Asta;594049;Asta 594049;;None;Высота, мм49;None; Масса, кг0,195;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм49; Масса, кг0,195; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594049
Трековое крепление с 1-фазным адаптером к 21443х/21448x;Asta;592057;Asta 592057;;None;Высота, мм100;None; Масса, кг0,115;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм100; Масса, кг0,115; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/592057
Трековое крепление с 1-фазным адаптером к 05121x;Asta;592039;Asta 592039;;None;Высота, мм49;None; Масса, кг0,152;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм49; Масса, кг0,152; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/592039
Трековое крепление с 1-фазным адаптером к 05122x;Asta;592049;Asta 592049;;None;Высота, мм49;None; Масса, кг0,183;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм49; Масса, кг0,183; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/592049
Трековое крепление с 3-фазным адаптером к 21443х/21448x;Asta;594057;Asta 594057;;None;Высота, мм100;None; Масса, кг0,139;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм100; Масса, кг0,139; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594057
Трековое крепление с 3-фазным адаптером к 21443х/21448x;Asta;594059;Asta 594059;;None;Высота, мм100;None; Масса, кг0,139;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм100; Масса, кг0,139; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594059
Трековое крепление с 3-фазным адаптером к 21383х/21483х/21385x/21485x;Asta;594067;Asta 594067;;None;Высота, мм60; Диаметр, мм120; Масса, кг0,076;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм60; Диаметр, мм120; Масса, кг0,076; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594067
Трековое крепление с 3-фазным адаптером к 21381х/21481х;Asta;594060;Asta 594060;;None;Высота, мм45; Диаметр, мм75;None;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм45; Диаметр, мм75; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594060
Трековое крепление с 1-фазным адаптером к 2163XX;Asta;592256;Asta 592256;;None;Высота, мм88;None; Масса, кг0,129;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм88; Масса, кг0,129; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/592256
Трековое крепление с 1-фазным адаптером к 2163XX;Asta;592257;Asta 592257;;None;Высота, мм88;None; Масса, кг0,129;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм88; Масса, кг0,129; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/592257
Трековое крепление с 3-фазным адаптером к 2165XX;Asta;594287;Asta 594287;;None;Высота, мм101;None; Масса, кг0,193;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм101; Масса, кг0,193; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594287
Трековое крепление с 3-фазным адаптером к 21383х/21483х/21385x/21485x;Asta;594066;Asta 594066;;None;Высота, мм60; Диаметр, мм120; Масса, кг0,076;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм60; Диаметр, мм120; Масса, кг0,076; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/trekovye-adaptery-dlya-potolochnyh-svetilnikov/594066
Соединитель регулируемый гибкий однофазный;Barra;502159;Barra 502159;;None;Высота, мм20;None; Масса, кг0,126;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм20; Масса, кг0,126; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502159
Заглушка концевая однофазная;Barra;502169;Barra 502169;;None;Высота, мм20;None; Масса, кг0,006;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм20; Масса, кг0,006; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502169
Трек двухконтактный однофазный накладной;Barra;502039;Barra 502039;;None;Высота, мм20;None; Масса, кг1,209;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм20; Масса, кг1,209; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502039
Трек четырехконтактный трехфазный;Barra;504029;Barra 504029;;None;Высота, мм35;None; Масса, кг1,902;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг1,902; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504029
Соединитель X-образный трехфазный;Barra;504147;Barra 504147;;None;Высота, мм35;None; Масса, кг0,274;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг0,274; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504147
Соединитель X-образный трехфазный;Barra;504149;Barra 504149;;None;Высота, мм35;None; Масса, кг0,274;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг0,274; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504149
Соединитель T-образный трехфазный;Barra;504139;Barra 504139;;None;Высота, мм35;None; Масса, кг0,206;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг0,206; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504139
Соединитель регулируемый гибкий однофазный;Barra;502156;Barra 502156;;None;Высота, мм20;None; Масса, кг0,126;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм20; Масса, кг0,126; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/502156
Соединитель малый прямой трехфазный;Barra;504107;Barra 504107;;None;Высота, мм31;None; Масса, кг0,033;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм31; Масса, кг0,033; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504107
Заглушка концевая трехфазная;Barra;504167;Barra 504167;;None;Высота, мм35;None; Масса, кг0,006;None;None;None; Пылевлагозащита, IPIP20;"Высота, мм35; Масса, кг0,006; Пылевлагозащита, IPIP20";https://lightstar.ru/kupit-lustry-svetilniki-optom/kupit-track-optom/shinoprovod-i-aksessuary/504167
