Chalice;CHAL 200 LED2000-840 BC RSB;17;2090;LED;0,97;96631227
Chalice;CHAL 200 LED2000-840 BC E3 RSB;17;2090;LED;1,99;92912547
Chalice;CHAL 150 LED1400-830 HF E3TX RSB;12;1340;LED;1,51;92900780
Chalice;CHAL 150 LED1400-840 HF E3TX RSB;12;1410;LED;1,51;92900752
Chalice;CHAL 150 LED2000-830 HF E3TX RSB;17;1880;LED;1,51;92900785
Chalice;CHAL 150 LED2000-840 HF E3TX RSB;17;1980;LED;1,51;92900759
Chalice;CHAL 150 LED3000-830 HF E3TX RSB;27;2740;LED;1,51;92900728
Chalice;CHAL 150 LED3000-840 HF E3TX RSB;27;2880;LED;1,51;92900661
Chalice;CHAL 150 LED1400-927-65 HFIX RSB;23;1400;LED;0,61;96633608
Chalice;CHAL 150 LED2000-927-65 HFIX RSB;29;1850;LED;0,61;96633609
Chalice;CHAL 150 LED3000-840 HFIX RSB;27;2880;LED;0,59;92900671
Chalice;CHAL 150 LED1400-840 HFIX E3TX RSB;12;1410;LED;1,51;92900751
Chalice;CHAL 150 LED2000-840 HFIX E3TX RSB;17;1980;LED;1,51;92900761
Chalice;CHAL 150 LED3000-830 HFIX E3TX RSB;27;2740;LED;1,51;92900726
Chalice;CHAL 150 LED3000-840 HFIX E3TX RSB;27;2880;LED;1,51;92900764
Chalice;CHAL 150 LED2000-840 BC RSB;17;1980;LED;0,57;96631229
Chalice;CHAL 150 LED2000-840 BC E3 RSB;17;1980;LED;1,64;92912552
Chalice;CHAL 150 HALO RING;;;;0,17;96627650
Chalice;CHAL 200 FROSTED RING;;;;0,10;96627649
Chalice;CHAL MSF MSW1 1500mm;;;;0,24;96238862
Chalice;CHALICE 150 CEILING RING 180-190 WH;;;;0,48;96633602
Chalice;CHALICE 200 CEILING RING 230-240 WH;;;;0,48;96633599
Chalice 74;CHAL 74 LED550-830 WFL IP65 WHM;7;600;LED;0,30;96631503
Chalice 74;CHAL 74 LED900-830 WFL IP65 WHM;9;900;LED;0,40;96631505
Chalice 74;CHAL 74 LENS FL;;;;0,02;96631516
Chalice 74;CHAL 74 LENS WW;;;;0,02;96631515
Chalice 74;CHAL 74 TRIM BKM;;;;0,04;96631511
Chalice 74;CHAL 74 TRIM WH;;;;0,04;96631510
Chalice 74;CHAL 74 LED550-840 WFL IP65 WHM;7;600;LED;0,30;96631504
Chalice 74;CHAL 74 LED900-840 WFL IP65 WHM;9;950;LED;0,40;96631506
Chalice 74;CHAL 74 LENS WFL;;;;0,02;96631513
Chalice 74;CHAL 74 TRIM AL;;;;0,04;96631509
Chalice 74;CHAL 74 TRIM CR;;;;0,04;96631508
Chalice 74;CHAL 74 TRIM WHM;;;;0,04;96631507
Chalice Pro;CHAL PRO LED1100-830 HFIX RMB W6;9;1090;LED;0,49;96642356
Chalice Pro;CHAL PRO LED1100-840 HFIX RMB W6;9;1100;LED;0,49;96642357
Chalice Pro;CHAL PRO LED2000-830 HFIX RMB W6;16;1900;LED;0,49;96642358
Chalice Pro;CHAL PRO LED2000-840 HFIX RMB W6;16;2030;LED;0,49;96642359
Chalice Pro;CHAL PRO LED3000-830 HFIX RMB W6;25;2900;LED;0,49;96642360
Chalice Pro;CHAL PRO LED1100-830 HFIX RSB W6;9;1090;LED;0,49;96642332
Chalice Pro;CHAL PRO LED1400-927-65 HFIX RSB;22;1400;LED;0,61;96633613
Chalice Pro;CHAL PRO LED2000-840 HFIX RSB W6;16;2030;LED;0,49;96642335
Chalice Pro;CHAL PRO LED3000-830 HFIX RSB W6;25;2900;LED;0,49;96642336
Chalice Pro;CHAL PRO LED1100-830 HF RMB W6;9;1090;LED;0,49;96642350
Chalice Pro;CHAL PRO LED2000-830 HF RMB W6;16;1900;LED;0,49;96642352
Chalice Pro;CHAL PRO LED3000-830 HF RMB W6;25;2900;LED;0,49;96642354
Chalice Pro;CHAL PRO LED1100-830 HF E3 RMB W6;9;1090;LED;1,51;96642362
Chalice Pro;CHAL PRO LED1100-840 HF E3 RMB W6;9;1100;LED;1,51;96642363
Chalice Pro;CHAL PRO LED2000-830 HF E3 RMB W6;16;1900;LED;1,51;96642364
Chalice Pro;CHAL PRO LED2000-840 HF E3 RMB W6;16;2030;LED;1,51;96642365
Chalice Pro;CHAL PRO LED3000-830 HF E3 RMB W6;25;2900;LED;1,51;96642366
Chalice Pro;CHAL PRO LED3000-840 HF E3 RMB W6;25;3030;LED;1,51;96642367
Chalice Pro;CHAL PRO LED1100-830 HFIX E3 RMB W6;9;1090;LED;1,51;96642368
Chalice Pro;CHAL PRO LED1100-840 HFIX E3 RMB W6;9;1100;LED;1,51;96642369
Chalice Pro;CHAL PRO LED2000-830 HFIX E3 RMB W6;16;1900;LED;1,51;96642370
Chalice Pro;CHAL PRO LED2000-840 HFIX E3 RMB W6;16;2030;LED;1,51;96642371
Chalice Pro;CHAL PRO LED3000-830 HFIX E3 RMB W6;25;2900;LED;1,51;96642372
Chalice Pro;CHAL PRO LED3000-840 HFIX E3 RMB W6;25;3030;LED;1,51;96642373
Chalice Pro;CHAL PRO LED1100-830 HF RSB W6;9;1090;LED;0,49;96642326
Chalice Pro;CHAL PRO LED2000-830 HF RSB W6;16;1900;LED;0,49;96642328
Chalice Pro;CHAL PRO LED3000-830 HF RSB W6;25;2900;LED;0,49;96642330
Chalice Pro;CHAL PRO LED1100-830 HF E3 RSB W6;9;1090;LED;1,51;96642338
Chalice Pro;CHAL PRO LED1100-840 HF E3 RSB W6;9;1100;LED;1,51;96642339
Chalice Pro;CHAL PRO LED2000-830 HF E3 RSB W6;16;1900;LED;1,51;96642340
Chalice Pro;CHAL PRO LED2000-840 HF E3 RSB W6;16;2030;LED;1,51;96642341
Chalice Pro;CHAL PRO LED3000-830 HF E3 RSB W6;25;2900;LED;1,51;96642342
Chalice Pro;CHAL PRO LED3000-840 HF E3 RSB W6;25;3030;LED;1,51;96642343
Chalice Pro;CHAL PRO LED1100-830 HFIX E3 RSB W6;9;1090;LED;1,51;96642344
Chalice Pro;CHAL PRO LED1100-840 HFIX E3 RSB W6;9;1100;LED;1,51;96642345
Chalice Pro;CHAL PRO LED2000-830 HFIX E3 RSB W6;16;1900;LED;1,51;96642346
Chalice Pro;CHAL PRO LED2000-840 HFIX E3 RSB W6;16;2030;LED;1,51;96642347
Chalice Pro;CHAL PRO LED3000-830 HFIX E3 RSB W6;25;2900;LED;1,51;96642348
Chalice Pro;CHAL PRO LED3000-830 HFIX E3TX RSB W6;25;2900;LED;1,51;96642908
Chalice Pro;CHAL PRO LED3000-840 HFIX E3TX RSB W6;25;3030;LED;1,51;96642909
Chalice Pro;CHAL 150 FROSTED RING;;;;0,05;96627651
Chalice Pro;CHAL 150 WALLWASHER RMB W6;;;;0,17;96628054
Chalice Pro;CHAL MSF HOUSING;;;;1,10;96628908
Chalice Pro;CHAL PRO LED1100-840 BC RMB W6;9;1100;LED;0,57;96631226
