INFO:root:Парсим CHAL 150 LED2000-840 HF E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-830 HF E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-840 HF E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED1400-927-65 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED2000-927-65 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-840 HFIX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED1400-840 HFIX E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED2000-840 HFIX E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-830 HFIX E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED3000-840 HFIX E3TX RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED2000-840 BC RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 LED2000-840 BC E3 RSB в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 150 HALO RING в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 200 FROSTED RING в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL MSF MSW1 1500mm в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHALICE 150 CEILING RING 180-190 WH в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHALICE 200 CEILING RING 230-240 WH в категории {'name': 'Chalice', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice'}
INFO:root:Парсим CHAL 74 LED550-830 WFL IP65 WHM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 LED900-830 WFL IP65 WHM в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
INFO:root:Парсим CHAL 74 LENS FL в категории {'name': 'Chalice 74', 'url': 'http://www.thornlighting.ru/ru-ru/produkty/vnutriennieie-osvieshchieniie/svietilniki-tipa-downlight/Chalice_74'}
