2933;700040001;2021-02-10 03:31:06.050422;;;4527;None;put;10000.0
2933;700040001;2021-02-08 22:55:56.087178;;;4527;None;put;10000.0
2933;700040001;2021-02-08 22:54:53.417839;;;4527;None;put;6000.0
2933;700040001;2021-02-08 22:28:05.596282;;;4704;4527;sent;None
2933;700040001;2020-07-25 00:47:39.085741;;;4527;4704;bought;2750.0
10341;None;2020-07-25 00:03:20.491857;;;4704;None;made a global offer for;2750.0
9638;None;2020-07-20 03:28:26.286755;;;3627;None;made a global offer for;100.0
2933;700040001;2020-07-09 23:06:59.753298;;;4527;None;has been deposited into Nifty Gateway by;None
22552;20700040007;2021-05-27 19:39:32.133012;;;615130;None;put;4000.0
22552;20700040007;2021-05-27 14:25:38.013885;;;615130;None;put;3500.0
22552;20700040007;2021-05-27 04:36:38.114926;;;615130;None;put;3750.0
22552;20700040007;2021-05-27 04:06:20.933740;;;615130;None;put;4000.0
1036125;None;2021-05-26 14:29:39.476077;;;723440;None;made a global offer for;50.0
22557;20700040010;2021-05-25 03:09:19.141576;;;280566;None;put;16000.0
22557;20700040010;2021-05-25 03:03:31.560951;;;9992;280566;bought;1950.0
22557;20700040010;2021-05-25 02:59:38.391795;;;9992;None;put;1950.0
1028538;None;2021-05-24 08:20:22.569243;;;280566;None;made a global offer for;1820.0
22552;20700040007;2021-05-24 04:57:47.546259;;;615130;None;put;15500.0
1028218;None;2021-05-24 04:48:58.873228;;;280566;None;made a global offer for;1450.0
1028089;None;2021-05-24 02:43:19.864575;;;357666;None;made a global offer for;980.0
22557;20700040010;2021-05-24 02:40:34.466245;;;9992;None;put;2000.0
1025307;None;2021-05-23 06:35:08.589889;;;318210;None;made a global offer for;780.0
1021072;None;2021-05-22 09:24:56.087772;;;566809;None;made a global offer for;436.0
22552;20700040007;2021-05-21 02:25:46.046521;;;615130;None;put;2000.0
22557;20700040010;2021-05-21 02:16:27.401883;;;9992;None;put;2100.0
1012262;None;2021-05-20 10:08:56.157804;;;280566;None;made a global offer for;1234.56
22552;20700040007;2021-05-20 07:25:35.380807;;;615130;None;put;2250.0
22557;20700040010;2021-05-20 02:35:16.468337;;;9992;None;put;2200.0
22552;20700040007;2021-05-20 01:26:34.110645;;;615130;None;put;2400.0
22552;20700040007;2021-05-20 01:04:43.501696;;;615130;None;put;4000.0
995286;None;2021-05-17 19:11:50.155111;;;357666;None;made a global offer for;1000.0
22557;20700040010;2021-05-17 14:55:27.359530;;;9992;None;put;2600.0
994183;None;2021-05-17 13:46:08.876093;;;341922;None;made a global offer for;388.0
22552;20700040007;2021-05-17 12:40:16.903551;;;615130;None;put;7777.77
22552;20700040007;2021-05-17 11:55:37.276630;;;615130;None;put;2500.0
22552;20700040007;2021-05-17 06:26:53.387161;;;615130;None;put;7777.0
22552;20700040007;2021-05-17 04:57:16.105157;;;615130;None;put;2900.0
22552;20700040007;2021-05-16 23:52:25.290760;;;615130;None;put;5000.0
22552;20700040007;2021-05-16 23:23:26.177958;;;615130;None;put;7777.0
22552;20700040007;2021-05-16 23:04:51.650738;;;615130;None;put;3000.0
22552;20700040007;2021-05-16 05:44:18.685387;;;615130;None;put;4000.0
22552;20700040007;2021-05-16 02:03:41.721997;;;615130;None;put;4999.0
986301;None;2021-05-15 22:19:37.386000;;;280566;None;made a global offer for;999.0
22552;20700040007;2021-05-15 05:25:01.687458;;;615130;None;put;5000.0
22552;20700040007;2021-05-14 08:27:02.938024;;;615130;None;put;7777.0
22557;20700040010;2021-05-14 03:18:02.328314;;;9992;None;put;3000.0
22552;20700040007;2021-05-11 15:18:26.392461;;;15213;615130;bought;920.0
964604;None;2021-05-11 05:31:36.042207;;;615130;None;made a global offer for;920.0
22557;20700040010;2021-05-11 02:51:17.749667;;;9992;None;put;2150.0
22552;20700040007;2021-05-09 23:36:02.587770;;;15213;None;put;2250.0
22557;20700040010;2021-05-09 23:29:30.926505;;;9992;None;put;2300.0
22552;20700040007;2021-05-09 06:59:42.576999;;;15213;None;put;2450.0
22557;20700040010;2021-05-08 18:51:41.430595;;;9992;None;put;2500.0
22557;20700040010;2021-05-08 18:23:49.993956;;;9992;None;put;2750.0
22552;20700040007;2021-05-08 03:40:59.850587;;;15213;None;put;2650.0
22552;20700040007;2021-05-08 03:33:44.661910;;;15213;None;has been deposited into Nifty Gateway by;None
22557;20700040010;2021-05-07 17:56:12.958433;;;9992;None;put;2800.0
22557;20700040010;2021-05-06 16:40:23.398601;;;9992;None;put;3000.0
940651;None;2021-05-06 00:54:49.178628;;;117994;None;made a global offer for;1300.0
22557;20700040010;2021-05-05 23:52:00.445007;;;9992;None;put;3000.0
22557;20700040010;2021-05-05 22:17:41.021835;;;9992;None;put;3000.0
22557;20700040010;2021-05-05 20:28:25.767204;;;9992;None;put;3300.0
22557;20700040010;2021-05-05 04:13:03.864603;;;9992;None;put;3300.0
22557;20700040010;2021-05-04 16:27:25.149383;;;9992;None;put;3300.0
22557;20700040010;2021-05-02 18:20:25.144094;;;9992;None;put;3600.0
914178;None;2021-05-01 23:08:01.372113;;;602028;None;made a global offer for;9.99
22557;20700040010;2021-05-01 05:19:53.787661;;;9992;None;put;4800.0
899031;None;2021-04-29 10:30:29.685424;;;279850;None;made a global offer for;1500.0
22557;20700040010;2021-04-27 04:04:49.335314;;;9992;None;put;3600.0
22557;20700040010;2021-04-25 18:53:56.756922;;;9992;None;put;4000.0
22531;20700040004;2021-04-25 00:22:59.165938;;;15921;None;put;15000.0
22557;20700040010;2021-04-24 02:07:11.254073;;;9992;None;put;4000.0
22552;20700040007;2021-04-23 16:24:30.317092;;;13778;None;withdrew;None
22557;20700040010;2021-04-22 05:09:14.869476;;;9992;None;put;4000.0
22557;20700040010;2021-04-17 19:46:11.871897;;;9992;None;put;4444.0
22557;20700040010;2021-04-15 23:25:38.164324;;;9992;None;put;7777.0
22557;20700040010;2021-04-14 20:42:38.085180;;;9992;None;put;5000.0
22557;20700040010;2021-04-14 01:56:48.009856;;;9992;None;put;7000.0
22557;20700040010;2021-04-14 00:20:02.675267;;;9992;None;put;6000.0
